Date,Open,Close,Volume,Nifty50,VWAP,RVOL,IPR,SMA_Close_F,SMA_Close_M,SMA_Close_S,EMA_Close_F,EMA_Close_M,EMA_Close_S,DEMA_Close_F,DEMA_Close_M,DEMA_Close_S,macd,dn,up,RSI_Close,TrueRange,AvgTrueRange,OBV,SAR,COD,VOL,lag1,lag2,lag3,lag4,lag5,rpi,eps,pe
07/03/2018,831.3569946,813.5275269,8009863,10249.25,854.5967631,1.037399259,28.43572998,857.3515015,853.6347351,843.9428101,849.4241013,851.4880201,850.4557416,843.8016426,851.7135497,850.5396749,0.02550739,810.992682,876.8929381,43.31756071,28.43572998,17.62589339,79663636,822.2891221,-16.59515381,3.347683597,832.8199463,844.9348755,867.1531372,872.7763062,869.0732422,0.0507,15.78,9.11
08/03/2018,820.7507324,833.3685303,7926773,10154.2002,853.6090497,1.037853501,19.3838501,846.2423584,850.7683044,843.3759247,837.4585765,844.5861122,846.9387687,825.7332541,839.123621,843.8326854,-0.332160329,808.7832576,877.9685918,37.37442062,20.84680176,17.85595827,71736863,877.6679688,-17.82946777,2.331591629,813.5275269,832.8199463,844.9348755,867.1531372,872.7763062,0.0507,15.78,9.11
09/03/2018,836.5230103,834.8771973,6641983,10242.65039,853.2092224,0.90143934,19.3838501,838.3608032,849.1316467,844.2605408,836.0952277,842.5465519,845.6463651,827.369447,836.4085096,841.6667816,-0.422653194,811.7014074,876.8196742,45.63537116,22.62976074,18.19694416,78378846,877.6679688,12.61779785,2.361721937,833.3685303,813.5275269,832.8199463,844.9348755,867.1531372,0.0507,15.78,9.11
12/03/2018,841.1860962,850.6036987,5319263,10226.84961,852.9237275,0.734111314,7.588989258,831.9056152,848.1030212,845.1154419,835.6892176,841.1521238,844.62073,829.601357,834.9891935,840.092199,-0.474703516,814.5453483,875.6855355,46.21632706,7.588989258,17.4392331,83698109,875.0401758,-1.645812988,0.907206277,834.8771973,833.3685303,813.5275269,832.8199463,844.9348755,0.0507,15.78,9.11
13/03/2018,852.0666504,852.0209351,4157575,10421.40039,852.8958268,0.584907902,14.21789551,833.0393799,847.7418579,846.2926453,840.6607113,842.8705919,845.1905366,839.9164667,839.2342139,841.6088335,-0.361349612,816.8001187,875.7851718,51.97731052,18.28668213,17.49976517,87855684,872.5174945,9.417602539,1.690219985,850.6036987,834.8771973,833.3685303,813.5275269,832.8199463,0.0444,15.78,9.11
14/03/2018,849.2322388,849.4608154,5574365,10426.84961,852.8819438,0.785421934,13.3949585,836.8795776,847.1155396,847.8470093,844.4474525,844.5342907,845.8410507,846.4757837,842.9202803,843.1890226,-0.255087401,820.6791622,875.0148564,52.47138922,13.3949585,17.20656469,93430049,870.0957205,-0.045715332,1.572055248,852.0209351,850.6036987,834.8771973,833.3685303,813.5275269,0.0444,15.78,9.11
15/03/2018,845.7577515,833.6885986,7362232,10410.90039,852.8117165,1.027029427,11.74914551,844.0662354,845.1542969,848.4664703,846.1185735,845.4300225,846.1857902,848.5848749,844.84234,844.0982434,-0.1931289,821.7483876,875.1845531,51.44178957,11.74914551,16.81674904,86067817,867.7708175,0.22857666,1.383502059,849.4608154,852.0209351,850.6036987,834.8771973,833.3685303,0.0444,15.78,9.11
16/03/2018,831.128418,822.9451904,6355918,10360.15039,852.4787233,0.91715029,17.78375244,844.130249,841.2455261,847.4675629,841.9752485,843.2952181,844.9955815,840.8572328,841.0677289,842.0299931,-0.291277129,820.1155391,874.8195866,45.51623118,17.78375244,16.88582071,79711899,865.5389106,-12.06915283,2.102700497,833.6885986,849.4608154,852.0209351,850.6036987,834.8771973,0.0444,15.78,9.11
19/03/2018,823.8137817,818.7849731,15407481,10195.15039,851.2825628,2.091602317,21.6239624,841.7438477,836.8247314,845.8400513,835.6318958,839.5952131,842.8955442,830.6576502,834.7454451,838.3123592,-0.466902435,816.7725768,874.9075257,41.96985573,23.54406738,17.36140976,64304418,863.3962799,-8.183227539,2.60175948,822.9451904,833.6885986,849.4608154,852.0209351,850.6036987,0.0444,15.78,9.11
20/03/2018,816.7734375,813.5732422,6315416,10094.25,850.7518679,0.848684285,13.62353516,835.3801025,834.2097412,844.6605621,830.0162549,835.8115331,840.5992994,822.9563306,828.7478029,834.3750532,-0.639453792,813.3021966,876.0189277,40.64908389,13.62353516,17.09441871,57989002,860.201175,-5.028808594,1.653715373,818.7849731,822.9451904,833.6885986,849.4608154,852.0209351,0.0444,15.78,9.11
